timestamp,application,log_level,log_message
2025-03-19 20:27:59,app,INFO,Configuration: '/open5gs/install/etc/open5gs/sgwu.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:27:59,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/sgwu.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:27:59,pfcp,INFO,pfcp_server() [172.22.0.6]:8805 (../lib/pfcp/path.c:30)
2025-03-19 20:27:59,pfcp,INFO,ogs_pfcp_connect() [172.22.0.5]:8805 (../lib/pfcp/path.c:61)
2025-03-19 20:27:59,gtp,INFO,gtp_server() [172.22.0.6]:2152 (../lib/gtp/path.c:30)
2025-03-19 20:27:59,app,INFO,SGW-U initialize...done (../src/sgwu/app.c:31)
2025-03-19 20:27:59,sgwu,INFO,PFCP associated [172.22.0.5]:8805 (../src/sgwu/pfcp-sm.c:179)
2025-03-19 20:28:02,sgwu,WARNING,PFCP[RSP] has already been associated [172.22.0.5]:8805 (../src/sgwu/pfcp-sm.c:273)
2025-03-19 20:27:59,app,INFO,Configuration: '/open5gs/install/etc/open5gs/sgwc.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:27:59,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/sgwc.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:27:59,gtp,INFO,gtp_server() [172.22.0.5]:2123 (../lib/gtp/path.c:30)
2025-03-19 20:27:59,pfcp,INFO,pfcp_server() [172.22.0.5]:8805 (../lib/pfcp/path.c:30)
2025-03-19 20:27:59,pfcp,INFO,ogs_pfcp_connect() [172.22.0.6]:8805 (../lib/pfcp/path.c:61)
2025-03-19 20:27:59,app,INFO,SGW-C initialize...done (../src/sgwc/app.c:31)
2025-03-19 20:27:59,sgwc,INFO,PFCP associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:183)
2025-03-19 20:28:02,sgwc,WARNING,PFCP[REQ] has already been associated [172.22.0.6]:8805 (../src/sgwc/pfcp-sm.c:277)
2025-03-19 20:28:08,app,INFO,Configuration: '/open5gs/install/etc/open5gs/pcrf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:28:08,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/pcrf.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:28:09,dbi,INFO,MongoDB URI: 'mongodb://172.22.0.2/open5gs' (../lib/dbi/ogs-mongoc.c:130)
2025-03-19 20:28:09,app,INFO,Polling freeDiameter stats every 60000000 usecs (../lib/diameter/common/stats.c:77)
2025-03-19 20:28:09,app,INFO,PCRF initialize...done (../src/pcrf/app-init.c:31)
2025-03-19 20:28:09,diam,INFO,"CONNECTED TO 'smf.epc.mnc001.mcc001.3gppnetwork.org' (SCTP,soc#16): (../lib/diameter/common/logger.c:81)"
