metric,values,metric_name
"{'__name__': 'fivegs_amffunction_mm_paging5greq', 'instance': '172.22.0.10:9091', 'job': 'amf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_amffunction_mm_paging5greq
"{'__name__': 'fivegs_amffunction_mm_paging5gsucc', 'instance': '172.22.0.10:9091', 'job': 'amf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_amffunction_mm_paging5gsucc
"{'__name__': 'fivegs_amffunction_rm_reginitreq', 'instance': '172.22.0.10:9091', 'job': 'amf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_amffunction_rm_reginitreq
"{'__name__': 'fivegs_amffunction_rm_reginitsucc', 'instance': '172.22.0.10:9091', 'job': 'amf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_amffunction_rm_reginitsucc
"{'__name__': 'fivegs_ep_n3_gtp_indatapktn3upf', 'instance': '172.22.0.8:9091', 'job': 'upf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_ep_n3_gtp_indatapktn3upf
"{'__name__': 'fivegs_ep_n3_gtp_outdatapktn3upf', 'instance': '172.22.0.8:9091', 'job': 'upf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_ep_n3_gtp_outdatapktn3upf
"{'__name__': 'fivegs_upffunction_upf_sessionnbr', 'instance': '172.22.0.8:9091', 'job': 'upf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",fivegs_upffunction_upf_sessionnbr
"{'__name__': 'ues_active', 'instance': '172.22.0.7:9091', 'job': 'smf'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",ues_active
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'guest', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_system_cpu_percentage_average
"{'__name__': 'netdata_system_cpu_percentage_average', 'chart': 'system.cpu', 'dimension': 'guest_nice', 'family': 'cpu', 'instance': 'host.docker.internal:19999', 'job': 'netdata'}","[[1742291580, '0'], [1742291640, '0'], [1742291700, '0'], [1742291760, '0'], [1742291820, '0'], [1742291880, '0'], [1742291940, '0'], [1742292000, '0'], [1742292060, '0'], [1742292120, '0'], [1742292180, '0'], [1742292240, '0'], [1742292300, '0'], [1742292360, '0'], [1742292420, '0'], [1742292480, '0'], [1742292540, '0'], [1742292600, '0'], [1742292660, '0'], [1742292720, '0'], [1742292780, '0'], [1742292840, '0'], [1742292900, '0'], [1742292960, '0'], [1742293020, '0'], [1742293080, '0'], [1742293140, '0'], [1742293200, '0'], [1742293260, '0'], [1742293320, '0'], [1742293380, '0'], [1742293440, '0'], [1742293500, '0'], [1742293560, '0'], [1742293680, '0'], [1742293740, '0'], [1742293800, '0'], [1742293860, '0'], [1742293920, '0'], [1742293980, '0'], [1742294040, '0'], [1742294100, '0'], [1742294160, '0'], [1742294220, '0']]",netdata_system_cpu_percentage_average
